Title,Grade,CourseType,PrimaryCMI,SecondaryCMI,OptionalCMI,PrimaryMLG,SecondaryMLG,OptionalMLG,THCredit,PWLCredit,TrainingObjectivesJson
3C.2.1 Advanced techniques,Grade 12,BOTH,Rizky,Gita,,,,,4,4,
4C.1.1 Manufacturing  parts,Grade 12,BOTH,Ayu,Rahmat,,,,,2,2,"[{""category"": ""TECHNOLOGY"", ""text"": ""Understand manufacturing processes for composite and metal parts.""}, {""category"": ""CRITICAL SKILLS"", ""text"": ""Follow safety procedures during a manufacturing workshop.""}, {""category"": ""GENERAL AVIATION"", ""text"": ""Relate manufacturing choices to an aircraft part's in-flight constraints.""}]"
4C.2.1 Stress test,Grade 12,BOTH,Ayu,Rahmat,,,,,2,2,"[{""category"": ""SCIENTIFIC LITERACY"", ""text"": ""Understand the principles behind mechanical stress testing.""}, {""category"": ""TECHNOLOGY"", ""text"": ""Interpret stress test results on an aircraft part.""}, {""category"": ""CRITICAL SKILLS"", ""text"": ""Identify safety risks associated with a failed stress test.""}]"
4C.3.1  Compressibility effects,Grade 12,BOTH,Ayu,Rahmat,,,,,2,2,
4C.4.1 Deeper Engine,Grade 12,BOTH,Ayu,Rahmat,,,,,2,0,
4C.5.1 Fly an helicopter,Grade 12,BOTH,Ayu,Rahmat,,,,,2,1,
4C.6.1 Maneuvers in flight,Grade 12,BOTH,Ayu,Rahmat,,,,,3,1,
5C.1.1 Flight Recorder,Grade 12,BOTH,Ayu,Rahmat,,,,,2,1,"[{""category"": ""TECHNOLOGY"", ""text"": ""Know the history and requirements/objectives of the flight recorder.""}, {""category"": ""CAREER & HIGHER EDUCATION"", ""text"": ""Ensure knowledge of avionics systems relevant to instrumentation careers.""}, {""category"": ""ETHICAL & ENVIRONMENTAL"", ""text"": ""Understand the role of the flight recorder in safety investigations.""}]"
5C.1.2 Transponder,Grade 12,BOTH,Ayu,Rahmat,,,,,1,0,
5C.1.3 Weather Radar,Grade 12,BOTH,Ayu,Rahmat,,,,,1,1,
5C.1.4 Anti-collision system,Grade 12,BOTH,Ayu,Rahmat,,,,,2,1,
"5C.1.5 Deeper  flight control system, Auto flight,â¦",Grade 12,BOTH,Ayu,Rahmat,,,,,1,1,
5C.2.1 Precession and rigidity in space,Grade 12,BOTH,Ayu,Rahmat,,,,,2,1,
5C.3.1 Radio-communication,Grade 12,BOTH,Ayu,Rahmat,,,,,1,1,
5C.3.2 Radio-Navigation,Grade 12,BOTH,Ayu,Rahmat,,,,,1,1,
5C.3.3 Detection,Grade 12,BOTH,Ayu,Rahmat,,,,,1,1,
5C.3.4 On board Maintenance system,Grade 12,BOTH,Ayu,Rahmat,,,,,1,1,
